docid,url,wiki_topic1,wiki_topic2,wiki_topic3,wiki_topic4,other,title,year
329407,http://tarski.cs-i.brandeis.edu:8181/data/329407/pdf.pdf,List_of_alloys,Amorphous_metal,Projectile,,,development of compositionally graded metallic glass alloys with desirable properties,2016
28270,http://tarski.cs-i.brandeis.edu:8181/data/28270/pdf.pdf,Spectroscopy,Fluid_mechanics,fluid_dynamics,,,projections of plasma cloud structures and their spectra,1985
25608,http://tarski.cs-i.brandeis.edu:8181/data/25608/pdf.pdf,Elastic_and_plastic_strain,Structural load,cantilever,,,efficient elastic-plastic design of small foundations,1982
2336,http://tarski.cs-i.brandeis.edu:8181/data/2336/pdf.pdf,Ultra_high_frequency,Cloud_chamber,Barium,,,analysis of UHF radar data-stress series,1978
31128,http://tarski.cs-i.brandeis.edu:8181/data/31128/pdf.pdf,Seismic_wave,nuclear_explosion,seismogram,,,forward and inverse modeling of near-field seismic waveforms from underground nuclear explosions for effective source functions and structure parameters,1987
124609,http://tarski.cs-i.brandeis.edu:8181/data/124609/pdf.pdf,soil,shear_strength_(soil),Aircraft_tire,,,prediction of aircraft ground performance by evaluation of ground vehicle rut depths,1974
309128,http://tarski.cs-i.brandeis.edu:8181/data/309128/pdf.pdf,Optimal_control,Permanent_magnet_synchronous_generator,Load_bank,,,parameter estimation for generator simulation studies,1977
318656,http://tarski.cs-i.brandeis.edu:8181/data/318656/pdf.pdf,Nuclear_fallout,Radioactive_contamination,Surface_runoff,,,evaluation of fallout contamination from surface runoff,1969
17039,http://tarski.cs-i.brandeis.edu:8181/data/17039/pdf.pdf,Chemical_kinetics,Nitrous_oxide,Atmosphere_of_Earth,,,the atmospheric chemical kinetics of N2O,1965
30477,http://tarski.cs-i.brandeis.edu:8181/data/30477/pdf.pdf,Marshal_of_the_Soviet_Union,Soviet_Union,Military_science,,,Marshall Ogarkov on modern war 1977-1985,1987
306415,http://tarski.cs-i.brandeis.edu:8181/data/306415/pdf.pdf,Nuclear_fallout,Mushroom_cloud,Meteorology,,,development of an improved land-surface fallout model,1966
6452,http://tarski.cs-i.brandeis.edu:8181/data/6452/pdf.pdf,Single-event_upset,Proton,MIPS_architecture,R3000,,high energy proten SEU* test results for the commercially available MIPS R3000 microprocessor and R3010 floating point unit**,1991
27360,http://tarski.cs-i.brandeis.edu:8181/data/27360/pdf.pdf,Shock_wave,Shock_tube,,,,some aspects of shock-wave research,1986
379,http://tarski.cs-i.brandeis.edu:8181/data/379/pdf.pdf,Monocyte,Antibody,Monoclonal_antibody,Flow_cytometry,,rat monocytes in a model of combined injury express the OX8 antigen,1987
140438,http://tarski.cs-i.brandeis.edu:8181/data/140438/pdf.pdf,Semiconductor,Radiation_hardening,Silicon_on_sapphire,,,complementary-symmetry / metal oxide semiconductor (CMOS) circuit hardening,1975
2033,http://tarski.cs-i.brandeis.edu:8181/data/2033/pdf.pdf,ILLIAC_IV,Serial_computer,,,,MAZE 3 - a sequential computer spectral enhancement code,1973
6361,http://tarski.cs-i.brandeis.edu:8181/data/6361/pdf.pdf,MESFET,Gallium_arsenide,Radiation,,,charge collection in GaAs MESFETs and MOSFETs,1991
6561,http://tarski.cs-i.brandeis.edu:8181/data/6561/pdf.pdf,Scintillation_(radar),Space-based_radar,Ionosphere,,,the impact of strong scintillation on space based radar design-nonherent detection,1983
121982,http://tarski.cs-i.brandeis.edu:8181/data/121982/pdf.pdf,Density_of_air,Accelerometer,,,,a triaxial accelerometer system for air density measurements,1972
27516,http://tarski.cs-i.brandeis.edu:8181/data/27516/pdf.pdf,Fallout_shelter,"Livermore,_California",Nuclear_warfare,,,community shelter report,1962
9836,http://tarski.cs-i.brandeis.edu:8181/data/9836/pdf.pdf,Radiation,Nuclear_fallout_effects_on_an_ecosystem,Salmon,Salmon_Site,,project dribble - salmon event on-site health and safety report ,1965
12396,http://tarski.cs-i.brandeis.edu:8181/data/12396/pdf.pdf,Operation_Hardtack_II,Nuclear_detonation_detection_system,Combat_effectiveness,,,operation Hardtack project 4.3 effect of light from very-low-yield nuclear detonations on vision (dazzle) of combat personnel,1958
21481,http://tarski.cs-i.brandeis.edu:8181/data/21481/pdf.pdf,Blast_wave,Nuclear_explosion,,,,dynamic pressure impulse for near-ideal and non-ideal blast waves - height of burst charts (u),1981
299459,http://tarski.cs-i.brandeis.edu:8181/data/299459/pdf.pdf,National_security,Terrorism,Social_science,Complex_system,,verification and validation of social science simulations: some thoughts for consideration in national security applications,2007
135935,http://tarski.cs-i.brandeis.edu:8181/data/135935/pdf.pdf,Kelvin–Helmholtz_instability,Turbulence,Nuclear_explosion,,,the Kelvin-Helmholtz instability and turbulent mixing,1975
20465,http://tarski.cs-i.brandeis.edu:8181/data/20465/pdf.pdf,Barium,Ionosphere,Cloud,,,coupled barium cloud-ionosphere systems 3. neutral wind effects in the small cloud approximation,1974
154,http://tarski.cs-i.brandeis.edu:8181/data/154/pdf.pdf,Phorbol_esters,Bay_K8644,Aorta,Calcium_channel,,Effects of a phorbol ester on rat aortic contraction and calcium influx in the presence and absence of BAY k 8644 ,1987
28019,http://tarski.cs-i.brandeis.edu:8181/data/28019/pdf.pdf,Radiative_transfer,Radiation,Lambertian_reflectance,,,the delta-four-stream approximation for radiative flux transfer,1982
22355,http://tarski.cs-i.brandeis.edu:8181/data/22355/pdf.pdf,Amchitka,Seismology,Earthquake,,,a comparison of long shot and earthquakes,1967
12096,http://tarski.cs-i.brandeis.edu:8181/data/12096/pdf.pdf,Personal_protective_equipment,Electromagnetic_radiation_and_health,,,,evaluation of military individual and collective protection devices and clothing,1952
4701,http://tarski.cs-i.brandeis.edu:8181/data/4701/pdf.pdf,Rock_mechanics,Nuclear_explosion,Geodynamics,,,"the problem of induced ""block motion"" related to deep underground strategic facilities - a summary",1977
136005,http://tarski.cs-i.brandeis.edu:8181/data/136005/pdf.pdf,Nuclear_fallout,Gamma_ray,Terrain,,,the effects of a changing gamma-ray fallout spectrum on the ground roughness factor,1965
24544,http://tarski.cs-i.brandeis.edu:8181/data/24544/pdf.pdf,Millstone_Hill,Radio_propagation,Satellite_watching,,,Millstone Hill radar propagtion study: instrumentation,1973
11843,http://tarski.cs-i.brandeis.edu:8181/data/11843/pdf.pdf,Operation_Plumbbob,Blast_wave,Nuclear_weapons_testing,,,operation Plumbbob project 33.2 secondary missiles generated by nuclear-produced blast waves,1963
18356,http://tarski.cs-i.brandeis.edu:8181/data/18356/pdf.pdf,Photoelectric_effect,X-ray,Emission_spectrum,,,absolute yields of x-ray induced photoemission from metals,1972
11723,http://tarski.cs-i.brandeis.edu:8181/data/11723/pdf.pdf,Operation_Upshot–Knothole,Convair_B-36_Peacemaker,,,,operation Upshot-Knothole project 5.3 blast effects on B-36 type aircraft in flight,1955
19976,http://tarski.cs-i.brandeis.edu:8181/data/19976/pdf.pdf,Ballistic_coefficient,Plasma_(physics),Infrared,,Collisional-Radiative Model,departure from LTE in an oxygen plasma II. collisional-radiative model,1974
1465,http://tarski.cs-i.brandeis.edu:8181/data/1465/pdf.pdf,Pyrolysis,Cellulose,Thermal_radiation,,,stable pyrolysis products of cellulose exposed to intense thermal radiation,1965
30688,http://tarski.cs-i.brandeis.edu:8181/data/30688/pdf.pdf,Seismic_array,Triangulation,,,,a master event strategy for location with seismic array data,1986
27124,http://tarski.cs-i.brandeis.edu:8181/data/27124/pdf.pdf,Nuclear_fallout,Nuclear_warfare,,,,"comments on ""minimizing the consequences of nuclear warfare"" by Carl Sagan",1986
